Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Heatmor,79,42,33,49,33,32,30,26,32,16,15,10,4,1,2,831,261,457,633,fogo,100,,,,,,,5,1,,789,317
Durant,59,61,65,21,21,60,15,30,30,10,10,5,5,1,1,815,372,551,665,inseto,100,metal,100,,,,,5,1,,790,318
Deino,48,26,24,23,24,21,21,20,22,11,13,16,3,1,1,571,148,286,410,dragao,100,sombrio,80,,,,,4,1,,791,319
Zweilous,70,38,34,32,34,30,31,28,35,14,16,18,3,1,1,774,216,416,594,dragao,100,sombrio,100,,,,,7,2,,792,319
Hydreigon,96,49,43,68,43,45,44,39,43,18,18,22,3,1,2,1068,330,594,844,dragao,100,sombrio,100,,,,,10,3,,793,319
Larvesta,44,28,22,21,22,22,23,16,24,6,12,12,4,1,1,546,150,282,400,fogo,100,inseto,100,,,,,3,1,,794,320
Volcarona,81,28,30,74,50,40,35,20,50,9,13,13,4,1,2,914,348,579,735,fogo,100,inseto,100,,,,,8,2,,795,320
Cobalion,90,43,56,43,31,49,26,34,50,15,12,16,4,1,2,955,310,572,754,metal,100,lutador,100,terrestre,10,,,-,1,,796,321
Terrakion,90,56,43,31,43,49,30,30,55,10,12,16,4,1,2,950,320,582,764,pedra,100,lutador,100,terrestre,10,,,-,1,,797,322
Virizion,90,43,31,43,56,49,26,34,45,20,12,16,4,1,2,960,300,562,744,planta,100,lutador,100,terrestre,10,,,-,1,,798,323
Tornadus,83,48,34,48,34,58,48,31,31,11,13,15,3,1,2,926,308,555,747,voador,100,,,,,,,-,1,,799,324
Thundurus,83,48,34,58,34,48,31,48,31,11,13,15,3,1,2,926,308,555,747,eletrico,100,voador,100,,,,,-,1,,800,325
Landorus,83,58,34,48,34,48,31,31,48,11,13,15,3,1,2,926,308,555,747,terrestre,100,voador,100,,,,,-,1,,803,326
Reshiram,100,56,56,86,45,43,40,30,48,21,10,15,3,1,2,1111,396,682,908,dragao,100,fogo,100,,,,,-,1,,801,327
Zekrom,100,86,45,56,56,43,30,40,48,21,10,15,3,1,2,1111,396,682,908,dragao,100,eletrico,100,,,,,-,1,,802,328
Kyurem,120,63,45,63,45,40,42,28,56,13,10,25,4,1,2,1093,372,664,884,dragao,100,gelo,100,,,,,-,1,,804,329
KyuremBlack,120,94,56,56,45,40,44,28,62,13,12,25,5,1,2,1193,432,746,970,dragao,100,gelo,100,,,,,-,2,,805,329
KyuremWhite,120,56,45,94,56,40,44,28,62,13,12,25,5,1,2,1193,432,746,970,dragao,100,gelo,100,,,,,-,2,,806,329
Keldeo,71,35,39,65,39,45,35,60,32,15,15,12,4,1,2,970,340,567,771,agua,100,lutador,100,,,,,-,1,,807,330
Keldeo Radiante,71,39,43,69,43,49,39,64,36,17,18,15,5,1,2,1062,364,614,835,agua,100,lutador,100,,,,,-,FF,,808,330
Keldeo Resolute,71,25,21,70,21,50,50,75,32,20,25,8,3,1,2,975,390,625,767,agua,100,lutador,100,,,,,-,F,,807,330
Keldeo Resolute Radiante,71,29,25,74,25,54,54,79,36,22,28,11,4,1,2,1067,414,665,829,agua,100,lutador,100,,,,,-,FF,,808,330
Meloetta,62,25,25,71,71,36,76,20,34,15,10,16,5,1,2,985,436,638,778,sonoro,100,psiquico,100,,,,,-,1,,809,331
Meloetta Radiante,62,29,29,75,75,40,80,24,38,17,13,19,6,1,2,1077,460,678,842,sonoro,100,lutador,100,,,,,-,FF,,811,331
Meloetta Pirouette,62,71,36,25,25,71,76,20,34,15,10,16,5,1,2,985,436,638,778,sonoro,100,psiquico,100,,,,,-,F,,810,331
Meloetta Pirouette Radiiante,62,75,40,29,29,75,80,24,38,17,13,19,6,1,2,1077,460,678,842,sonoro,100,lutador,100,,,,,-,FF,,810,331
Genesect,75,72,38,72,38,39,25,28,32,28,18,15,3,1,2,1003,366,593,769,inseto,100,metal,100,cosmico,50,,,-,1,,812,332
Chespin,45,27,31,20,21,17,15,19,18,12,10,15,3,1,2,557,161,281,381,planta,100,,,,,,,3,1,,813,333
Quilladin,79,38,47,27,28,20,18,28,30,12,12,18,3,1,2,737,249,421,551,planta,100,lutador,10,,,,,6,2,,814,333
Chesnaught,101,57,65,35,36,29,27,40,50,13,15,20,3,1,2,978,345,597,779,planta,100,lutador,100,,,,,9,3,,815,333
Chesnaught Radiante,101,61,69,39,40,33,31,44,54,15,18,23,4,1,2,1070,368,637,843,planta,100,lutador,100,,,,,-,FF,,816,333
Fennekin,39,20,18,27,26,26,21,17,18,12,8,15,3,1,2,557,158,279,385,fogo,100,fada,10,,,,,3,1,,817,334
Braixen,63,28,26,38,32,31,44,19,26,14,10,18,3,1,2,739,228,409,551,fogo,100,fada,100,,,,,6,2,,818,334
Delphox,75,33,34,57,48,47,74,24,38,15,12,18,3,1,2,980,358,603,785,fogo,100,psiquico,100,,,,,9,3,,819,334
Delphox Radiante,75,37,38,61,52,51,78,28,42,17,15,21,4,1,2,1072,382,644,849,fogo,100,psiquico,100,,,,,-,FF,,820,334
Froakie,41,24,19,25,20,27,19,20,18,15,5,15,3,1,2,560,152,273,385,agua,100,,,,,,,3,1,,821,335
Frogadier,59,34,27,39,28,42,23,29,25,18,5,18,3,1,2,743,230,403,553,agua,100,,,,,,,6,2,,822,335
Greninja,70,48,34,57,35,66,28,38,36,23,12,23,3,1,2,983,342,560,754,agua,100,sombrio,100,,,,,9,3,,823,335
Greninja Radiante,70,52,38,61,39,70,32,42,40,25,15,26,4,1,2,1075,366,608,818,agua,100,sombrio,100,,,,,-,FF,,824,335
Ultra Greninja,71,71,35,82,36,79,28,38,36,25,12,30,3,1,2,1130,464,684,885,agua,100,sombrio,100,,,,,-,FF,,825,335
Bunnelby,40,18,20,17,18,28,20,18,20,11,10,15,4,1,1,521,136,252,358,normal,100,,,,,,,2,1,,826,336
Diggersby,83,43,43,25,37,28,24,22,40,14,10,15,4,1,2,799,255,465,607,normal,100,terrestre,100,,,,,8,2,,827,336
Fletchling,42,24,20,21,19,30,16,19,20,13,10,12,3,1,2,553,150,272,380,voador,100,normal,100,,,,,1,1,,828,337
Fletchinder,65,35,30,31,29,46,22,24,28,13,10,12,3,1,2,728,227,407,555,voador,100,fogo,100,,,,,4,2,,829,337
Talonflame,81,43,36,37,34,67,29,36,38,15,12,15,3,1,2,910,301,523,721,fogo,100,voador,100,,,,,8,3,,830,337
Scatterbug,34,15,19,14,13,15,28,17,16,8,6,12,3,1,2,458,128,224,308,inseto,100,,,,,,,1,1,,831,338
Spewpa,55,18,25,19,32,15,32,17,24,8,8,12,3,1,2,573,183,319,419,inseto,100,venenoso,10,,,,,4,2,,832,338
Vivillon,75,25,27,41,33,32,87,19,36,12,10,18,3,1,2,857,331,533,675,inseto,100,voador,100,fada,50,,,8,3,,833,338
Litleo,45,20,22,25,21,25,19,18,22,13,10,15,4,1,1,558,145,275,389,fogo,100,normal,80,,,,,3,1,,834,339
Pyroar,80,27,31,48,28,47,25,23,40,16,12,18,4,1,2,826,270,468,618,fogo,100,normal,80,,,,,7,2,,835,339
Flabébé,38,18,18,24,29,19,22,16,18,12,5,15,3,1,1,512,150,262,366,fada,100,,,,,,,2,1,,836,340
Floette,53,22,22,34,48,24,39,19,28,14,5,16,3,1,1,679,242,399,525,fada,100,,,,,,,5,2,,837,340
Florges,77,28,29,45,100,31,62,24,38,14,5,18,3,1,2,969,414,629,791,fada,100,,,,,,,9,3,,838,340
Skiddo,60,30,21,25,24,23,16,21,26,14,20,5,1,1,1,574,172,316,440,planta,100,,,,,,,3,1,,839,341
Gogoat,108,50,28,45,40,32,18,35,32,18,35,8,1,1,2,878,298,518,702,planta,100,,,,,,,8,2,,840,341
Pancham,49,30,25,20,21,18,7,16,20,11,15,15,3,1,1,526,159,281,379,lutador,100,,,,,,,3,1,,841,342
Pangoro,102,66,39,32,35,24,12,21,48,12,20,20,3,1,2,862,330,542,672,lutador,100,sombrio,100,,,,,8,2,,842,342
Furfrou,74,38,28,30,42,45,42,18,32,14,9,25,5,1,2,844,258,472,638,normal,100,,,,,,,5,1,,843,343
Espurr,50,21,24,26,25,28,28,19,22,5,12,15,3,1,1,575,164,312,436,psiquico,100,,,,,,,3,1,,844,344
MeowsticMale,64,25,30,50,50,48,34,19,28,9,12,18,3,1,2,809,296,488,632,psiquico,100,,,,,,,6,2,,845,344
MeowsticFemale,64,25,30,32,32,48,70,19,28,9,12,18,3,1,2,809,300,488,632,psiquico,100,,,,,,,-,F,,846,344
Honedge,40,28,26,17,16,14,20,30,20,14,15,10,4,1,1,554,168,288,384,metal,100,fantasma,100,,,,,3,1,,847,345
Doublade,55,36,47,20,21,18,30,40,32,16,15,20,4,1,2,761,246,425,547,metal,100,fantasma,100,,,,,6,2,,848,345
AegislashShield,65,30,72,30,72,34,38,20,36,18,15,20,4,1,2,953,364,569,729,metal,100,fantasma,100,,,,,9,3,,849,345
AegislashBlade,65,70,30,70,30,35,20,42,36,16,16,20,4,1,2,951,364,571,731,metal,100,fantasma,100,,,,,-,F,,850,345
Spritzee,56,20,24,24,25,13,24,17,18,8,4,15,5,1,1,538,154,290,390,fada,100,,,,,,,2,1,,851,346
Aromatisse,103,27,27,37,37,14,39,20,39,10,6,15,5,1,2,765,259,461,585,fada,100,,,,,,,6,2,,852,346
Swirlix,57,19,26,25,23,20,27,3,35,15,4,12,2,1,1,550,181,329,437,fada,100,,,,,,,2,1,,853,347
Slurpuff,80,31,35,34,30,28,36,5,70,30,4,12,2,1,2,820,292,492,668,fada,100,,,,,,,6,2,,854,347
Inkay,46,24,23,16,19,19,23,15,25,12,5,16,3,1,1,522,144,274,376,sombrio,100,psiquico,100,agua,50,,,2,1,,855,348
Malamar,87,46,45,31,34,33,44,24,38,13,5,26,3,1,2,868,270,501,681,sombrio,100,psiquico,100,agua,50,,,7,2,,856,348
Binacle,48,25,31,16,22,18,16,32,26,10,10,15,1,1,1,550,178,320,420,pedra,100,agua,80,,,,,3,1,,857,349
Barbaracle,82,43,57,21,40,27,22,61,42,16,10,15,1,1,2,876,322,568,708,pedra,100,agua,80,,,,,7,2,,858,349
Skrelp,39,24,24,24,24,18,24,20,20,15,10,15,2,1,1,550,144,280,395,venenoso,100,agua,100,,,,,4,1,,859,350
Dragalge,68,34,42,46,63,23,36,32,44,15,10,16,2,1,2,885,306,530,708,venenoso,100,dragao,100,agua,50,,,9,2,,860,350
Clauncher,44,23,25,24,26,19,19,21,28,13,25,5,3,1,1,583,158,302,426,agua,100,,,,,,,3,1,,861,351
Clawitzer,77,28,32,39,33,25,27,35,40,15,50,10,3,1,2,850,258,471,645,agua,100,,,,,,,6,2,,862,351
Helioptile,39,18,17,30,21,30,21,24,19,15,5,18,3,1,1,560,168,291,401,eletrico,100,normal,100,,,,,2,1,,863,352
Heliolisk,63,25,25,50,39,50,26,32,33,23,5,18,3,1,2,828,278,471,623,eletrico,100,normal,100,,,,,6,2,,864,352
Tyrunt,55,34,29,20,20,21,16,25,25,12,8,15,3,1,1,587,181,323,435,pedra,100,dragao,100,,,,,4,1,,865,353
Tyrantrum,97,75,68,28,25,31,19,46,54,15,10,18,3,1,2,980,394,645,789,pedra,100,dragao,100,,,,,9,2,,866,353
Amaura,56,25,26,34,33,19,35,18,24,12,1,5,2,1,1,592,204,362,484,gelo,100,pedra,80,,,,,4,1,,867,354
Aurorus,115,37,36,57,57,27,57,25,44,13,2,10,2,1,2,938,343,619,795,gelo,100,pedra,80,,,,,8,2,,868,354
Hawlucha,67,38,30,29,28,60,20,26,32,32,18,36,4,1,2,897,268,463,637,lutador,100,voador,80,,,,,6,1,,869,355
Hawlucha Radiante,67,42,34,33,32,64,24,30,36,34,21,39,5,1,2,989,290,498,695,lutador,100,voador,80,,,,,-,FF,,870,355
Dedenne,52,23,23,39,26,41,30,39,26,20,15,12,3,1,2,750,238,402,546,eletrico,100,fada,100,,,,,5,1,,871,356
Carbink,54,26,70,26,70,26,30,26,30,14,10,10,4,1,2,844,340,506,662,pedra,100,fada,100,,,,,5,1,,872,357
Goomy,45,23,19,24,29,21,23,17,20,14,10,15,2,1,1,549,152,285,397,dragao,100,,,,,,,4,1,,873,358
Sliggoo,68,35,28,37,49,29,36,24,30,15,12,16,2,1,1,765,244,442,604,dragao,100,,,,,,,7,2,,874,358
Ultra Sliggoo,68,35,34,37,54,25,38,24,36,15,12,16,2,1,1,795,258,468,634,dragao,100,metal,100,,,,,-,FF,,874,358
Goodra,86,47,38,53,81,39,40,29,43,16,12,19,2,1,2,1016,362,614,826,dragao,100,,,,,,,10,3,,875,358
Ultra Goodra,86,47,48,53,95,32,46,29,57,16,12,22,2,1,2,1096,410,692,900,dragao,100,metal,100,,,,,-,FF,,875,358
Klefki,57,31,37,31,34,30,32,29,25,20,10,25,4,1,1,765,206,390,555,metal,100,fada,100,fantasma,100,,,5,1,,876,359
Phantump,43,26,22,23,25,18,23,17,20,12,10,15,3,1,1,547,148,281,391,planta,100,fantasma,100,,,,,3,1,,877,360
Trevenant,86,55,36,32,53,28,49,26,38,14,15,16,3,1,2,914,314,548,720,planta,100,fantasma,100,,,,,8,2,,878,360
Pumpkaboo,46,26,28,19,22,24,25,15,23,10,10,15,4,1,1,570,158,298,410,fantasma,100,planta,100,,,,,3,1,,879,367
Gourgeist,68,37,49,27,32,35,38,19,32,12,10,20,4,1,2,802,248,450,608,fantasma,100,planta,100,,,,,7,2,,880,367
Bergmite,50,27,30,18,19,14,23,24,20,8,10,12,5,1,1,558,164,298,400,gelo,100,,,,,,,3,1,,881,368
Avalugg,94,53,83,20,22,15,23,25,38,9,15,15,5,1,2,849,366,538,652,gelo,100,,,,,,,8,2,,882,368
Ultra Avalugg,94,67,83,20,22,28,23,29,38,10,18,15,5,1,2,920,394,584,714,gelo,100,,,,,,,-,FF,,883,368
Noibat,40,19,20,22,21,29,20,15,24,18,10,12,3,1,1,548,150,272,386,sonoro,100,dragao,100,voador,100,,,3,1,,884,369
Noivern,90,37,40,51,40,59,25,21,50,24,12,16,4,1,2,964,320,570,742,sonoro,100,dragao,100,voador,100,,,8,2,,885,369
Xerneas,108,48,40,48,42,43,85,42,48,18,20,12,6,1,2,1138,374,652,900,fada,100,,,,,,,-,1,,886,370
Yveltal,108,48,40,48,42,43,35,42,48,18,70,12,6,1,2,1138,344,622,870,sombrio,100,,,,,,,-,1,,887,371
Zygarde 1%,28,12,14,9,9,5,5,5,15,4,3,5,3,1,0,254,86,146,176,dragao,100,terrestre,100,,,,,-,1,,888,372
Zygarde 100%,180,60,68,40,44,36,36,36,70,25,15,20,3,1,2,1195,456,744,960,dragao,100,terrestre,100,,,,,-,2,,888,372
Zygarde 200%,220,65,75,44,48,38,38,38,80,28,16,25,3,1,2,1328,530,844,1072,dragao,100,terrestre,100,,,,,-,FF,,889,372
Diancie,54,41,70,41,70,26,55,26,34,15,10,15,5,1,2,985,390,622,780,fada,100,pedra,100,,,,,-,1,,890,373
Diancie Radiante,54,45,74,45,74,30,59,30,38,17,13,18,6,1,2,1077,414,670,844,fada,100,pedra,100,,,,,-,FF,,891,373
Mega Diancie,54,69,58,69,58,41,80,32,34,15,12,15,5,1,2,1145,436,750,936,fada,100,pedra,100,,,,,-,FF,,892,373
Mega Diancie Radiante,54,73,62,73,62,45,84,36,38,17,15,18,6,1,2,1237,460,798,1000,fada,100,pedra,100,,,,,-,FF,,893,373
Hoopa,51,45,25,55,42,28,35,27,25,20,10,20,3,1,2,825,284,464,615,psiquico,100,fantasma,100,,,,,-,1,,894,374
HoopaUnbound,92,75,30,87,61,30,40,27,64,20,20,25,3,1,2,1160,452,746,920,psiquico,100,fantasma,100,,,,,-,F,,895,374
Volcanion,95,55,59,63,38,27,21,30,95,40,10,12,2,1,2,1115,434,719,909,fogo,100,agua,100,,,,,-,1,,896,375
Rowlet,56,24,24,23,23,20,18,20,18,12,10,15,3,1,1,552,152,284,396,planta,100,voador,100,,,,,3,1,,897,376
Dartrix,70,32,32,31,31,24,30,24,30,13,15,18,3,1,1,713,198,382,538,planta,100,voador,100,,,,,6,2,,898,376
Decidueye,79,45,32,40,40,35,27,49,36,14,20,50,3,1,2,959,288,527,733,planta,100,fantasma,100,,,,,9,3,,899,376
Ultra Decidueye,79,60,40,40,40,35,27,49,42,20,20,50,3,1,2,1035,318,562,791,planta,100,lutador,100,,,,,-,FF,,900,376
Litten,42,27,18,26,18,28,19,24,18,14,12,10,3,1,1,554,162,290,398,fogo,100,,,,,,,3,1,,901,377
Torracat,72,37,23,36,23,37,22,35,27,14,15,10,3,1,1,714,220,416,552,fogo,100,sombrio,10,,,,,6,2,,902,377
Incineroar,97,58,46,40,46,34,24,46,46,14,18,12,3,1,2,969,305,581,777,fogo,100,sombrio,100,lutador,50,,,9,3,,903,377
Popplio,44,23,23,27,24,19,27,15,19,12,8,16,3,1,1,552,156,292,400,agua,100,,,,,,,3,1,,904,378
Brionne,66,30,30,36,36,24,36,19,32,13,8,18,3,1,1,713,216,406,552,agua,100,,,,,,,6,2,,905,378
Primarina,81,34,34,58,69,30,66,21,38,14,8,20,3,1,2,969,386,611,781,agua,100,fada,80,,,,,9,3,,906,378
Pikipek,37,23,15,15,15,23,18,42,18,15,10,15,4,1,1,550,176,285,375,voador,100,normal,100,,,,,2,1,,907,379
Trumbeak,60,31,26,23,26,31,21,66,30,16,10,15,4,1,1,746,256,428,568,voador,100,normal,100,,,,,5,2,,908,379
Toucannon,80,41,34,34,34,31,24,100,40,16,16,15,4,1,2,966,362,578,756,voador,100,normal,100,,,,,7,3,,909,379
Yungoos,40,30,16,16,16,22,18,22,18,12,20,20,2,1,1,532,148,268,372,normal,100,,,,,,,1,1,,910,380
Gumshoos,84,60,28,24,28,23,23,30,28,14,25,25,2,1,2,794,264,432,580,normal,100,,,,,,,5,2,,911,380
Grubbin,38,26,14,16,14,14,18,26,20,12,31,10,3,1,1,522,166,280,368,inseto,100,,,,,,,1,1,,912,381
Charjabug,58,26,30,22,40,14,22,26,53,12,11,10,3,1,1,672,246,408,524,inseto,100,eletrico,100,,,,,4,2,,913,381
Vikavolt,74,28,40,65,30,20,25,45,60,14,31,10,3,1,2,914,340,556,722,inseto,100,eletrico,100,,,,,8,3,,914,381
Crabrawler,46,35,26,22,23,27,18,16,23,12,5,25,4,1,1,602,176,318,444,lutador,100,,,,,,,4,1,,915,382
Crabominable,105,75,38,33,35,28,24,17,42,13,25,5,4,1,2,888,339,551,705,lutador,100,gelo,100,,,,,9,2,,916,382
Oricorio,69,32,32,43,32,38,50,21,30,15,5,20,5,1,2,830,262,459,625,sonoro,100,fogo,100,voador,80,,,5,1,,917,383
OricorioPomPom,69,32,32,43,32,38,50,21,30,15,5,20,5,1,2,830,262,459,625,sonoro,100,eletrico,100,voador,80,,,-,F,,918,383
OricorioPa’u,69,32,32,43,32,38,50,21,30,15,5,20,5,1,2,830,262,459,625,sonoro,100,psiquico,100,voador,80,,,-,F,,919,383
OricorioSensu,69,32,32,43,32,38,50,21,30,15,5,20,5,1,2,830,262,459,625,sonoro,100,fantasma,100,voador,80,,,-,F,,920,383
Cutiefly,31,15,13,16,13,32,32,14,16,16,10,15,3,1,1,501,160,255,343,inseto,100,fada,100,,,,,1,1,,921,384
Ribombee,61,23,20,32,20,57,57,20,25,18,10,20,3,1,2,773,292,449,569,inseto,100,fada,100,,,,,5,2,,922,384
Rockruff,43,28,24,23,24,27,15,24,24,15,12,15,1,1,1,570,158,302,421,pedra,100,,,,,,,4,1,,923,385
LycanrocMidday,76,48,32,30,32,47,19,28,42,17,17,15,1,1,2,817,274,478,632,pedra,100,,,,,,,8,2,,924,385
LycanrocMidnight,76,49,36,41,36,27,19,32,38,17,17,15,1,1,2,817,256,476,632,pedra,100,,,,,,,8,2,,925,385
LycanrocDusk,76,50,35,32,35,37,19,30,40,17,17,15,1,1,2,817,256,470,632,pedra,100,,,,,,,8,2,,926,385
Wishiwashi,48,14,14,17,17,29,15,15,15,15,10,15,3,1,1,485,140,234,324,agua,100,,,,,,,1,1,,927,386
WishiwashiSchool,48,66,52,66,58,19,20,20,65,15,10,15,3,1,2,965,394,662,780,agua,100,,,,,,,-,F,,928,386
Mareanie,54,26,29,24,26,20,24,25,25,9,5,15,2,1,1,579,164,316,452,venenoso,100,agua,100,,,,,4,1,,929,387
Toxapex,55,31,76,29,70,22,30,28,29,10,10,15,2,1,2,845,354,530,685,venenoso,100,agua,100,,,,,8,2,,930,387
Mudbray,60,33,29,19,24,23,16,18,26,12,10,15,3,1,1,592,184,330,436,terrestre,100,,,,,,,4,1,,931,388
Mudsdale,110,63,51,23,39,25,18,21,46,16,12,16,3,1,2,876,338,558,682,terrestre,100,,,,,,,8,2,,932,388
Dewpider,38,19,23,19,31,15,22,20,20,8,13,16,4,1,1,538,152,270,378,agua,100,inseto,100,,,,,2,1,,933,389
Araquanid,69,36,41,24,57,22,26,27,32,10,22,16,4,1,2,805,268,455,599,agua,100,inseto,100,,,,,7,2,,934,389
Fomantis,40,24,19,23,19,16,26,27,18,18,25,10,2,1,1,568,156,290,402,planta,100,,,,,,,3,1,,935,390
Lurantis,71,34,31,28,31,18,40,45,35,20,55,15,2,1,2,875,280,489,669,planta,100,,,,,,,7,2,,936,390
Morelull,37,18,24,28,32,13,26,14,20,12,6,16,3,1,1,537,172,297,393,planta,100,fada,100,,,,,3,1,,937,391
Shiinotic,65,24,35,40,46,20,36,16,34,14,8,22,3,1,2,759,244,447,579,planta,100,fada,100,,,,,7,2,,938,391
Salandit,42,21,19,30,19,30,16,16,18,12,14,14,2,1,1,532,162,280,380,fogo,100,venenoso,100,,,,,4,1,,939,392
Salazzle,70,30,27,45,27,45,25,22,25,15,27,27,2,1,2,795,250,418,576,fogo,100,venenoso,100,,,,,6,2,,940,392
Stufful,60,32,22,19,22,22,16,22,26,10,10,14,4,1,1,580,176,308,422,normal,100,lutador,50,,,,,2,1,,941,393
Bewear,131,69,51,23,26,26,21,27,46,10,15,18,4,1,2,905,371,569,709,normal,100,lutador,100,,,,,8,2,,942,393
Bounsweet,41,19,21,19,21,20,23,17,20,12,5,15,3,1,1,507,130,251,361,planta,100,,,,,,,3,1,,943,394
Steenee,52,22,25,22,25,29,42,29,24,16,5,15,3,1,1,646,200,352,488,planta,100,,,,,,,6,2,,944,394
Tsareena,70,49,39,24,39,36,46,55,32,26,28,16,3,1,2,966,300,528,718,planta,100,lutador,50,,,,,9,3,,945,394
Tsareena Radiante,70,53,43,28,43,40,50,59,36,28,31,19,4,1,2,1058,324,576,780,planta,100,lutador,50,,,,,-,FF,,946,394
Comfey,51,26,29,28,36,34,63,25,25,12,4,25,4,1,1,757,266,432,583,fada,100,planta,10,,,,,4,1,,947,395
Oranguru,81,25,35,37,46,25,29,23,38,7,12,30,3,1,2,792,249,453,611,normal,100,psiquico,100,,,,,6,1,,948,396
Passimian,83,46,39,21,31,34,23,26,30,14,30,12,3,1,2,799,253,443,601,lutador,100,normal,10,,,,,5,1,,949,397
Wimpod,32,18,21,14,17,35,19,17,20,12,5,10,3,1,1,490,152,260,354,inseto,100,agua,100,venenoso,80,,,2,1,,950,398
Golisopod,75,59,72,29,37,25,22,34,42,10,18,12,3,1,2,895,346,563,715,inseto,100,agua,100,venenoso,80,,,8,2,,951,398
Sandygast,46,22,28,26,19,9,25,14,24,9,10,11,3,1,1,519,158,296,384,fantasma,100,terrestre,100,,,,,3,1,,952,399
Palossand,84,29,55,47,29,12,42,17,40,9,10,18,3,1,2,799,288,510,638,fantasma,100,terrestre,100,,,,,7,2,,953,399
Pyukumuku,49,30,56,16,56,6,20,30,23,12,22,12,1,1,1,677,284,439,555,agua,100,sombrio,10,,,,,4,1,,954,400
TypeNull,88,44,44,44,44,22,22,44,44,22,8,8,5,1,2,912,264,528,704,normal,100,,,,,,,8,1,,955,401
Silvally,90,44,44,44,44,44,44,44,44,22,13,13,5,1,2,1022,266,530,794,normal,100,,,,,,,-,2,,956,401
Minior,60,50,25,50,25,50,50,15,25,10,0,15,5,1,2,810,300,510,640,cosmico,100,pedra,100,voador,10,,,5,1,,957,402
MiniorMeteor,60,30,50,30,50,30,30,15,25,15,0,25,5,1,2,785,260,440,600,cosmico,100,pedra,100,voador,10,,,-,F,,958,402
Komala,64,39,28,32,37,29,30,25,28,18,2,50,3,1,2,808,252,440,610,sonoro,100,normal,10,,,,,4,1,,959,403
Turtonator,69,35,65,39,37,18,22,37,45,10,10,15,4,1,2,845,298,516,665,dragao,100,fogo,100,,,,,6,1,,960,404
Togedemaru,62,37,31,24,34,36,38,40,26,15,12,16,2,1,1,755,230,432,594,eletrico,100,metal,80,,,,,5,1,,961,405
Mimikyu,57,41,36,25,43,36,36,28,30,18,26,10,3,1,2,823,240,444,609,fantasma,100,fada,100,,,,,7,1,,962,406
Bruxish,68,45,34,34,34,40,48,18,38,10,8,12,2,1,2,800,266,478,650,agua,100,psiquico,100,,,,,6,1,,963,407
Drampa,87,26,49,68,55,15,68,20,52,12,8,16,3,1,2,967,382,671,795,normal,100,dragao,100,,,,,8,1,,964,408
Dhelmise,73,55,45,39,40,5,42,35,42,8,10,10,2,1,2,823,284,526,689,fantasma,100,planta,100,agua,100,,,7,1,,965,409
Jangmo-o,43,24,29,21,21,21,17,18,23,10,10,12,4,1,1,545,152,279,391,dragao,100,,,,,,,4,1,,966,410
Hakamo-o,61,36,41,30,33,29,22,23,31,10,12,15,4,1,1,715,220,403,551,dragao,100,lutador,100,,,,,7,2,,967,410
Kommo-o,79,65,71,50,52,38,27,30,48,10,16,16,4,1,2,1035,376,651,841,dragao,100,lutador,100,,,,,10,3,,968,410
TapuKoko,71,55,29,43,32,62,45,38,32,30,5,21,5,1,2,995,324,557,745,eletrico,100,fada,100,,,,,-,1,,969,411
TapuLele,71,34,31,62,55,40,55,32,32,25,5,21,5,1,2,990,344,563,753,psiquico,100,fada,100,,,,,-,1,,970,412
TapuBulu,71,62,55,36,43,34,45,38,32,21,5,21,5,1,2,986,324,558,761,planta,100,fada,100,,,,,-,1,,971,413
TapuFini,71,28,55,44,62,35,55,32,32,23,5,21,5,1,2,988,344,573,757,agua,100,fada,100,,,,,-,1,,972,414
Cosmog,44,18,19,18,19,20,22,16,19,12,5,5,5,1,0,472,128,242,346,cosmico,100,,,,,,,-,1,,973,415
Cosmoem,44,18,45,18,45,20,32,16,25,12,6,6,5,1,0,612,244,378,482,cosmico,100,,,,,,,-,2,,974,415
Solgaleo,114,75,55,48,45,38,47,27,50,25,18,15,4,1,2,1125,374,664,884,cosmico,100,metal,100,fogo,10,,,-,3,,975,415
Solgaleo Radiante,114,79,59,52,49,42,51,31,54,27,21,18,5,1,2,1217,390,704,948,cosmico,100,metal,100,fogo,10,,,-,FF,,976,415
Lunala,114,48,45,75,55,38,27,47,45,30,18,15,4,1,2,1130,374,654,880,cosmico,100,fantasma,100,sombrio,10,,,-,3,,977,415
Lunala Radiante,114,52,49,79,59,42,31,51,49,32,21,18,5,1,2,1222,390,694,940,cosmico,100,fantasma,100,sombrio,10,,,-,FF,,978,415
Nihilego,100,27,25,70,82,38,43,24,34,14,10,13,3,1,2,964,404,634,786,cosmico,100,fantasma,100,venenoso,100,,,-,1,,979,416
Nihilego Intense,100,26,24,76,91,37,51,23,33,13,9,12,1,1,2,973,436,676,822,cosmico,100,fantasma,100,venenoso,100,,,-,F,,979,416
Buzzwole,134,72,71,30,30,36,24,19,42,13,10,16,3,1,2,963,420,636,782,cosmico,100,inseto,100,lutador,100,,,-,1,,980,417
